     t        m      T
    0.00   -6.19  190.13
    1.00   -6.18  191.49
    2.00   -6.24  190.78
    3.00   -6.31  190.23
    4.00   -6.25  190.49
    5.00   -6.21  190.33
    6.00   -6.16  189.78
    7.00   -6.32  190.20
    8.00   -6.28  189.10
    9.00   -6.23  190.26
   10.00   -6.32  189.62
   11.00   -6.29  191.20
   12.00   -6.20  188.56
   13.00   -6.32  189.84
   14.00   -6.25  191.65
   15.00   -6.30  189.97
   16.00   -6.32  191.16
   17.00   -6.30  189.94
   18.00   -6.31  189.30
   19.00   -6.14  190.49
   20.00   -6.23  189.33
   21.00   -6.26  190.97
   22.00   -6.31  189.94
   23.00   -6.24  189.84
   24.00   -6.30  190.13
   25.00   -6.24  189.30
   26.00   -6.31  190.04
   27.00   -6.21  190.17
   28.00   -6.24  190.00
   29.00   -6.22  191.04
   30.00   -6.26  190.52
   31.00   -6.22  191.36
   32.00   -6.27  189.97
   33.00   -6.23  190.75
   34.00   -6.18  190.36
   35.00   -6.24  189.88
   36.00   -6.26  192.52
   37.00   -6.28  190.10
   38.00   -6.07  191.81
   39.00   -6.27  190.81
   40.00   -6.22  191.78
   41.00   -6.16  190.07
   42.00   -6.34  190.39
   43.00   -6.16  189.36
   44.00   -6.28  189.81
   45.00   -6.18  189.81
   46.00   -6.27  189.71
   47.00   -6.27  189.84
   48.00   -6.25  189.04
   49.00   -6.20  190.39
   50.00   -6.19  189.78
   51.00   -6.12  190.65
   52.00   -6.24  190.94
   53.00   -6.15  189.65
   54.00   -6.30  189.23
   55.00   -6.19  190.10
   56.00   -6.20  192.29
   57.00   -6.28  191.52
   58.00   -6.18  191.74
   59.00   -6.14  189.75
   60.00   -6.19  189.07
   61.00   -6.23  189.33
   62.00   -6.13  189.65
   63.00   -6.21  190.49
   64.00   -6.22  190.62
   65.00   -6.33  190.75
   66.00   -6.13  191.49
   67.00   -6.32  190.87
   68.00   -6.22  189.26
   69.00   -6.29  190.04
   70.00   -6.13  190.55
   71.00   -6.33  190.26
   72.00   -6.22  190.91
   73.00   -6.19  189.23
   74.00   -6.03  190.13
   75.00   -6.10  191.52
   76.00   -6.25  188.52
   77.00   -6.10  191.26
   78.00   -6.23  189.68
   79.00   -6.25  191.16
   80.00   -6.05  189.55
   81.00   -6.18  190.81
   82.00   -6.17  190.52
   83.00   -6.25  190.07
   84.00   -6.09  190.42
   85.00   -6.18  191.42
   86.00   -6.09  189.10
   87.00   -6.26  190.13
   88.00   -6.10  191.68
   89.00   -6.22  191.07
   90.00   -6.14  191.42
   91.00   -6.19  191.07
   92.00   -6.24  190.13
   93.00   -6.17  189.94
   94.00   -6.21  190.23
   95.00   -6.16  188.27
   96.00   -5.99  189.91
   97.00   -6.20  190.23
   98.00   -5.96  190.33
   99.00   -6.18  188.30
  100.00   -6.29  189.97
  101.00   -6.30  190.46
  102.00   -6.30  190.00
  103.00   -6.29  189.52
  104.00   -6.20  189.71
  105.00   -6.25  189.88
  106.00   -6.29  190.23
  107.00   -6.27  190.36
  108.00   -6.37  190.26
  109.00   -6.45  188.91
  110.00   -6.44  189.84
  111.00   -6.38  190.10
  112.00   -6.36  189.42
  113.00   -6.36  189.78
  114.00   -6.24  189.17
  115.00   -6.17  189.30
  116.00   -6.26  192.13
  117.00   -6.21  189.55
  118.00   -6.12  189.07
  119.00   -6.31  190.52
  120.00   -6.68  189.39
  121.00   -6.80  190.04
  122.00   -6.50  189.23
  123.00   -6.51  190.84
  124.00   -6.34  191.13
  125.00   -6.28  187.69
  126.00   -6.22  190.62
  127.00   -6.03  189.68
  128.00   -6.13  190.81
  129.00   -6.22  190.13
  130.00   -6.26  191.13
  131.00   -6.36  189.68
  132.00   -6.12  190.78
  133.00   -6.17  190.62
  134.00   -6.23  189.97
  135.00   -6.07  189.59
  136.00   -6.07  190.23
  137.00   -6.17  189.23
  138.00   -6.19  190.23
  139.00   -6.03  190.94
  140.00   -6.20  188.65
  141.00   -6.10  189.13
  142.00   -6.14  189.36
  143.00   -6.20  189.65
  144.00   -6.19  190.23
  145.00   -6.21  189.39
  146.00   -6.21  188.01
  147.00   -6.01  189.49
  148.00   -6.14  190.23
  149.00   -6.21  191.36
  150.00   -6.18  189.65
  151.00   -6.10  189.91
  152.00   -6.21  190.87
  153.00   -6.08  190.58
  154.00   -6.18  190.84
  155.00   -6.08  189.65
  156.00   -6.11  189.94
  157.00   -6.03  190.62
  158.00   -6.25  189.10
  159.00   -6.08  189.65
  160.00   -6.14  190.10
  161.00   -6.06  191.32
  162.00   -6.24  189.46
  163.00   -6.01  191.00
  164.00   -6.17  190.68
  165.00   -6.26  189.49
  166.00   -6.04  189.26
  167.00   -6.04  189.78
  168.00   -6.11  189.62
  169.00   -6.16  188.81
  170.00   -6.13  190.68
  171.00   -6.26  190.33
  172.00   -6.10  188.91
  173.00   -6.12  191.32
  174.00   -6.34  189.13
  175.00   -6.14  190.07
  176.00   -6.17  190.58
  177.00   -6.09  189.49
  178.00   -6.15  190.20
  179.00   -6.08  191.84
  180.00   -6.17  190.13
  181.00   -6.23  189.55
  182.00   -6.23  188.33
  183.00   -6.21  189.17
  184.00   -6.20  188.97
  185.00   -6.13  188.91
  186.00   -6.15  188.33
  187.00   -6.12  191.13
  188.00   -6.08  190.13
  189.00   -6.09  189.10
  190.00   -6.07  190.00
  191.00   -6.07  189.49
  192.00   -6.18  189.20
  193.00   -6.17  191.32
  194.00   -6.05  189.65
  195.00   -6.11  190.87
  196.00   -6.15  190.94
  197.00   -6.05  188.49
  198.00   -6.14  188.75
  199.00   -6.14  189.36
  200.00   -6.11  188.72
