    t       m      T
    0.00   -5.60  189.49
    1.00   -5.62  189.84
    2.00   -5.67  191.26
    3.00   -5.65  188.88
    4.00   -5.68  188.78
    5.00   -5.66  190.07
    6.00   -5.65  190.04
    7.00   -5.69  189.94
    8.00   -5.77  190.26
    9.00   -5.65  190.13
   10.00   -5.68  189.20
   11.00   -5.76  189.97
   12.00   -5.66  191.55
   13.00   -5.72  190.84
   14.00   -5.73  190.39
   15.00   -5.70  189.17
   16.00   -5.64  189.46
   17.00   -5.74  189.59
   18.00   -5.65  193.00
   19.00   -5.61  190.17
   20.00   -5.61  190.42
   21.00   -5.70  191.26
   22.00   -5.72  189.01
   23.00   -5.70  189.65
   24.00   -5.76  190.55
   25.00   -5.77  191.07
   26.00   -5.57  189.62
   27.00   -5.68  189.91
   28.00   -5.67  189.84
   29.00   -5.75  189.23
   30.00   -5.68  190.17
   31.00   -5.71  191.55
   32.00   -5.67  189.88
   33.00   -5.71  189.17
   34.00   -5.72  189.91
   35.00   -5.73  189.46
   36.00   -5.72  189.26
   37.00   -5.62  191.10
   38.00   -5.73  189.20
   39.00   -5.75  190.10
   40.00   -5.60  190.87
   41.00   -5.66  189.13
   42.00   -5.75  191.65
   43.00   -5.63  189.65
   44.00   -5.79  191.87
   45.00   -5.74  188.65
   46.00   -5.70  189.55
   47.00   -5.78  190.13
   48.00   -5.68  190.97
   49.00   -5.72  190.17
   50.00   -5.70  191.68
   51.00   -5.78  189.94
   52.00   -5.74  188.81
   53.00   -5.70  190.52
   54.00   -5.74  189.52
   55.00   -5.73  191.20
   56.00   -5.71  190.97
   57.00   -5.79  191.87
   58.00   -5.64  186.72
   59.00   -5.83  189.97
   60.00   -5.76  189.81
   61.00   -5.80  189.39
   62.00   -5.75  190.68
   63.00   -5.79  191.36
   64.00   -5.73  189.39
   65.00   -5.68  189.26
   66.00   -5.73  189.94
   67.00   -5.77  190.00
   68.00   -5.78  189.52
   69.00   -5.79  189.49
   70.00   -5.87  190.07
   71.00   -5.56  189.68
   72.00   -5.74  190.52
   73.00   -5.71  189.36
   74.00   -5.67  189.94
   75.00   -5.69  187.72
   76.00   -5.71  190.00
   77.00   -5.70  190.20
   78.00   -5.71  189.68
   79.00   -5.62  188.39
   80.00   -5.71  190.33
   81.00   -5.80  190.29
   82.00   -5.78  190.49
   83.00   -5.72  189.75
   84.00   -5.75  191.68
   85.00   -5.74  190.36
   86.00   -5.75  189.20
   87.00   -5.73  189.71
   88.00   -5.65  190.00
   89.00   -5.68  189.84
   90.00   -5.73  190.81
   91.00   -5.70  190.81
   92.00   -5.73  190.00
   93.00   -5.78  191.42
   94.00   -5.68  190.68
   95.00   -5.79  188.56
   96.00   -5.60  190.68
   97.00   -5.82  190.78
   98.00   -5.76  189.01
   99.00   -5.71  190.94
  100.00   -5.72  190.75
  101.00   -5.68  189.68
  102.00   -5.62  190.91
  103.00   -5.74  189.91
  104.00   -5.60  188.49
  105.00   -5.68  190.29
  106.00   -5.65  190.58
  107.00   -5.71  190.07
  108.00   -5.57  190.36
  109.00   -5.63  191.55
  110.00   -5.65  189.33
  111.00   -5.63  191.55
  112.00   -5.71  189.42
  113.00   -5.64  189.81
  114.00   -5.66  189.33
  115.00   -5.70  190.97
  116.00   -5.65  189.78
  117.00   -5.71  189.84
  118.00   -5.58  191.32
  119.00   -5.62  189.07
  120.00   -5.56  191.10
  121.00   -5.64  190.29
  122.00   -5.60  188.10
  123.00   -5.65  189.49
  124.00   -5.58  190.10
  125.00   -5.63  190.33
  126.00   -5.67  189.59
  127.00   -5.61  189.36
  128.00   -5.67  189.84
  129.00   -5.60  189.36
  130.00   -5.62  189.30
  131.00   -5.55  191.29
  132.00   -5.52  188.75
  133.00   -5.62  188.78
  134.00   -5.59  189.33
  135.00   -5.69  189.97
  136.00   -5.72  190.07
  137.00   -5.73  189.91
  138.00   -5.68  190.20
  139.00   -5.65  189.97
  140.00   -5.76  189.75
  141.00   -5.80  190.23
  142.00   -5.60  190.49
  143.00   -5.63  190.62
  144.00   -5.67  188.88
  145.00   -5.71  189.81
  146.00   -5.70  190.20
  147.00   -5.71  188.91
  148.00   -5.63  189.33
  149.00   -5.68  189.26
  150.00   -5.67  191.07
  151.00   -5.73  190.33
  152.00   -5.61  189.84
  153.00   -5.68  188.91
  154.00   -5.60  190.17
  155.00   -5.66  190.04
  156.00   -5.64  189.26
  157.00   -5.65  190.91
  158.00   -5.74  191.16
  159.00   -5.64  191.94
  160.00   -5.61  191.49
  161.00   -5.64  190.87
  162.00   -5.60  189.20
  163.00   -5.64  190.04
  164.00   -5.65  189.17
  165.00   -5.70  189.75
  166.00   -5.76  191.26
  167.00   -5.74  191.29
  168.00   -5.71  187.43
  169.00   -5.89  190.33
  170.00   -5.77  189.78
  171.00   -5.74  191.32
  172.00   -5.78  190.91
  173.00   -5.83  190.81
  174.00   -5.64  189.49
  175.00   -5.59  191.00
  176.00   -5.77  190.07
  177.00   -5.62  190.97
  178.00   -5.66  190.20
  179.00   -5.80  190.68
  180.00   -5.64  191.39
  181.00   -5.75  188.65
  182.00   -5.69  190.10
  183.00   -5.64  189.59
  184.00   -5.56  190.87
  185.00   -5.72  190.00
  186.00   -5.52  189.10
  187.00   -5.60  188.85
  188.00   -5.61  190.65
  189.00   -5.62  189.97
  190.00   -5.57  190.81
  191.00   -5.57  189.84
  192.00   -5.78  189.33
  193.00   -5.67  191.49
  194.00   -5.67  191.16
  195.00   -5.71  189.94
  196.00   -5.60  189.30
  197.00   -5.76  190.49
  198.00   -5.73  190.29
  199.00   -5.67  190.17
  200.00   -5.58  189.88
  201.00   -5.62  189.49
  202.00   -5.72  189.78
  203.00   -5.61  192.10
  204.00   -5.65  189.78
  205.00   -5.61  189.84
  206.00   -5.64  190.39
  207.00   -5.66  190.20
  208.00   -5.63  190.46
  209.00   -5.67  187.85
  210.00   -5.71  190.62
  211.00   -5.75  188.59
  212.00   -5.72  189.39
  213.00   -5.52  188.56
  214.00   -5.48  190.04
  215.00   -5.67  190.10
  216.00   -5.68  191.81
  217.00   -5.63  191.04
  218.00   -5.71  190.78
  219.00   -5.69  190.52
  220.00   -5.65  189.55
  221.00   -5.54  189.62
  222.00   -5.58  191.42
  223.00   -5.67  190.39
  224.00   -5.54  189.62
  225.00   -5.81  189.88
  226.00   -5.61  189.07
  227.00   -5.59  191.23
  228.00   -5.57  189.84
  229.00   -5.74  189.91
  230.00   -5.69  191.39
  231.00   -5.72  190.84
  232.00   -5.86  190.58
  233.00   -5.68  190.87
  234.00   -5.75  189.78
  235.00   -5.73  189.39
  236.00   -5.67  191.84
  237.00   -5.77  189.36
  238.00   -5.71  190.87
  239.00   -5.78  189.10
  240.00   -5.63  189.42
  241.00   -5.72  190.36
  242.00   -5.73  189.07
  243.00   -5.73  189.13
  244.00   -5.60  190.71
  245.00   -5.72  189.88
  246.00   -5.62  190.42
  247.00   -5.63  191.45
  248.00   -5.68  190.13
  249.00   -5.66  191.16
  250.00   -5.61  191.13
  251.00   -5.67  190.07
  252.00   -5.63  191.10
  253.00   -5.47  191.20
  254.00   -5.60  189.49
  255.00   -5.82  190.20
  256.00   -5.70  190.10
  257.00   -5.76  192.32
  258.00   -5.72  188.52
  259.00   -5.62  189.97
  260.00   -5.62  190.23
  261.00   -5.73  189.52
  262.00   -5.70  190.75
  263.00   -5.65  190.87
  264.00   -5.72  189.33
  265.00   -5.75  188.62
  266.00   -5.60  190.62
  267.00   -5.68  189.23
  268.00   -5.63  189.49
  269.00   -5.66  191.74
  270.00   -5.65  188.81
  271.00   -5.59  189.84
  272.00   -5.60  189.46
  273.00   -5.69  189.88
  274.00   -5.74  188.65
  275.00   -5.74  190.65
  276.00   -5.66  189.78
  277.00   -5.73  191.00
  278.00   -5.61  190.23
  279.00   -5.67  189.10
  280.00   -5.73  189.75
  281.00   -5.66  191.26
  282.00   -5.61  192.48
  283.00   -5.69  190.84
  284.00   -5.68  189.71
  285.00   -5.60  187.49
  286.00   -5.62  190.55
  287.00   -5.64  190.68
  288.00   -5.63  189.84
  289.00   -5.71  190.65
  290.00   -5.71  190.33
  291.00   -5.60  189.17
  292.00   -5.69  189.36
  293.00   -5.70  189.20
  294.00   -5.66  190.71
  295.00   -5.70  190.46
  296.00   -5.74  189.75
  297.00   -5.60  191.16
  298.00   -5.65  189.01
  299.00   -5.63  189.49
  300.00   -5.62  191.58
  301.00   -5.58  190.36
  302.00   -5.62  190.68
  303.00   -5.62  190.36
  304.00   -5.57  189.81
  305.00   -5.66  190.20
  306.00   -5.73  188.36
  307.00   -5.55  192.61
  308.00   -5.60  190.23
  309.00   -5.54  189.71
  310.00   -5.72  192.45
  311.00   -5.65  188.75
  312.00   -5.57  191.32
  313.00   -5.58  190.04
  314.00   -5.66  191.39
  315.00   -5.70  191.55
  316.00   -5.66  190.29
  317.00   -5.67  189.07
  318.00   -5.53  191.32
  319.00   -5.64  190.84
  320.00   -5.60  190.65
  321.00   -5.78  193.29
  322.00   -5.59  189.88
  323.00   -5.62  189.94
  324.00   -5.82  190.46
  325.00   -5.72  191.71
  326.00   -5.74  189.20
  327.00   -5.57  189.07
  328.00   -5.72  190.07
  329.00   -5.69  191.00
  330.00   -5.72  190.75
  331.00   -5.68  190.91
  332.00   -5.69  189.23
  333.00   -5.62  188.88
  334.00   -5.68  189.65
  335.00   -5.60  192.19
  336.00   -5.57  189.59
  337.00   -5.67  189.42
  338.00   -5.63  191.36
  339.00   -5.64  190.91
  340.00   -5.72  191.10
  341.00   -5.59  190.29
  342.00   -5.72  189.42
  343.00   -5.52  190.65
  344.00   -5.75  189.46
  345.00   -5.65  188.33
  346.00   -5.73  188.52
  347.00   -5.64  190.00
  348.00   -5.71  189.68
  349.00   -5.61  189.68
  350.00   -5.69  190.78
  351.00   -5.73  190.52
  352.00   -5.68  190.26
  353.00   -5.66  190.84
  354.00   -5.59  189.49
  355.00   -5.68  190.20
  356.00   -5.60  191.45
  357.00   -5.79  189.55
  358.00   -5.69  190.17
  359.00   -5.78  191.16
  360.00   -5.63  187.94
  361.00   -5.62  192.19
  362.00   -5.68  189.49
  363.00   -5.74  188.33
  364.00   -5.65  189.26
  365.00   -5.63  189.55
  366.00   -5.74  189.84
  367.00   -5.65  191.61
  368.00   -5.60  190.62
  369.00   -5.59  190.75
  370.00   -5.72  191.39
  371.00   -5.71  192.48
  372.00   -5.64  190.91
  373.00   -5.67  189.01
  374.00   -5.62  189.88
  375.00   -5.61  190.42
  376.00   -5.70  191.16
  377.00   -5.61  189.75
  378.00   -5.69  188.91
  379.00   -5.66  190.78
  380.00   -5.67  190.58
  381.00   -5.70  189.75
  382.00   -5.67  189.13
  383.00   -5.62  189.97
  384.00   -5.63  190.26
  385.00   -5.62  188.94
  386.00   -5.60  190.00
